condition,environment_seed,channel_seed,drop,delay,radius,final_entropy,F1,mission_return,episode_steps,measurement_count,path_length,messages_attempted,messages_range_eligible,messages_dropped,messages_delayed,messages_delivered,packet_delivery_ratio,effective_neighbor_degree,message_age_mean,message_age_max,communication_radius,normalized_communication_load,load_unit,pending_messages_discarded_at_episode_end,event_log
drop_0p3,15010,315010,0.3,0,25.0,0.18632808653917757,0.739669700033704,7.796197261661291,15.0,60.0,300.0,180,132,32,0,100,0.7575757575757576,2.2,0.0,0,25.0,0.7333333333333333,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15010.jsonl
drop_0p5,15001,315001,0.5,0,25.0,0.3051037944587273,0.7210927681450352,5.996696822345257,15.0,60.0,300.0,180,112,57,0,55,0.49107142857142855,1.8666666666666667,0.0,0,25.0,0.6222222222222222,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15001.jsonl
drop_0p5,15002,315002,0.5,0,25.0,0.3668919984144759,0.7928600130501621,12.946642700582743,15.0,60.0,300.0,180,94,51,0,43,0.4574468085106383,1.5666666666666667,0.0,0,25.0,0.5222222222222223,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15002.jsonl
drop_0p5,15003,315003,0.5,0,25.0,0.2511570895877738,0.8050896060534658,11.22404370084405,15.0,60.0,300.0,180,92,48,0,44,0.4782608695652174,1.5333333333333334,0.0,0,25.0,0.5111111111111111,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15003.jsonl
drop_0p5,15004,315004,0.5,0,25.0,0.30024263504668625,0.7120999334762362,5.413053471595049,15.0,60.0,300.0,180,80,36,0,44,0.55,1.3333333333333333,0.0,0,25.0,0.4444444444444444,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15004.jsonl
drop_0p5,15005,315005,0.5,0,25.0,0.3985459275696721,0.7426526166021964,7.789085332304239,15.0,60.0,300.0,180,90,47,0,43,0.4777777777777778,1.5,0.0,0,25.0,0.5,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15005.jsonl
drop_0p5,15006,315006,0.5,0,25.0,0.25440932989545484,0.8277504567087645,14.05648559704423,15.0,60.0,300.0,180,86,48,0,38,0.4418604651162791,1.4333333333333333,0.0,0,25.0,0.4777777777777778,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15006.jsonl
drop_0p5,15007,315007,0.5,0,25.0,0.2208493233401555,0.8028847294379997,10.787506449967623,15.0,60.0,300.0,180,94,47,0,47,0.5,1.5666666666666667,0.0,0,25.0,0.5222222222222223,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15007.jsonl
drop_0p5,15008,315008,0.5,0,25.0,0.24562864253688466,0.7749008294266138,9.810167156159878,15.0,60.0,300.0,180,82,45,0,37,0.45121951219512196,1.3666666666666667,0.0,0,25.0,0.45555555555555555,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15008.jsonl
drop_0p5,15009,315009,0.5,0,25.0,0.270525499178195,0.7275945743816549,6.491498753428459,15.0,60.0,300.0,180,122,65,0,57,0.4672131147540984,2.033333333333333,0.0,0,25.0,0.6777777777777778,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15009.jsonl
drop_0p5,15010,315010,0.5,0,25.0,0.18312080181702722,0.7355919222408686,7.855416057631373,15.0,60.0,300.0,180,132,62,0,70,0.5303030303030303,2.2,0.0,0,25.0,0.7333333333333333,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p5_15010.jsonl
delay_1,15001,315001,0.0,1,25.0,0.3748412485552459,0.7223684829110056,4.256062049418688,15.0,60.0,300.0,180,116,0,116,106,0.9137931034482759,1.9333333333333333,1.0,1,25.0,0.6444444444444445,MESSAGE_UNITS,10,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15001.jsonl
delay_1,15002,315002,0.0,1,25.0,0.33967412639329714,0.8063235651949693,13.884801227599382,15.0,60.0,300.0,180,92,0,92,86,0.9347826086956522,1.5333333333333334,1.0,1,25.0,0.5111111111111111,MESSAGE_UNITS,6,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15002.jsonl
delay_1,15003,315003,0.0,1,25.0,0.20662781800870442,0.8194309482876125,12.702136516571045,15.0,60.0,300.0,180,94,0,94,88,0.9361702127659575,1.5666666666666667,1.0,1,25.0,0.5222222222222223,MESSAGE_UNITS,6,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15003.jsonl
delay_1,15004,315004,0.0,1,25.0,0.24513108083421664,0.7047314785344967,5.829140841960907,15.0,60.0,300.0,180,100,0,100,94,0.94,1.6666666666666667,1.0,1,25.0,0.5555555555555556,MESSAGE_UNITS,6,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15004.jsonl
delay_1,15005,315005,0.0,1,25.0,0.3019397914502247,0.7777073332729524,10.628723531961441,15.0,60.0,300.0,180,94,0,94,88,0.9361702127659575,1.5666666666666667,1.0,1,25.0,0.5222222222222223,MESSAGE_UNITS,6,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15005.jsonl
delay_1,15006,315006,0.0,1,25.0,0.2603113680486244,0.8260451993161522,13.858698036521673,15.0,60.0,300.0,180,88,0,88,84,0.9545454545454546,1.4666666666666666,1.0,1,25.0,0.4888888888888889,MESSAGE_UNITS,4,D:\AgentData\RAC-MIPP\S3-R0\events\delay_1_15006.jsonl
